# sent_id = HorEpis1-F-05-1
# text = prima dicte mihi summa dicende Camena spectatum satis et donatum iam rude quaeris Maecenas iterum antiquo me includere ludo
1	prima	lilaLemma:119498	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusHor%20Epistulae/Horatius_HorEpistulae_HorEpis1.BPN_t_0000001	O
2	dicte	lilaLemma:99302	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusHor%20Epistulae/Horatius_HorEpistulae_HorEpis1.BPN_t_0000002	O
3	mihi	lilaLemma:100712	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusHor%20Epistulae/Horatius_HorEpistulae_HorEpis1.BPN_t_0000003	O
4	summa	lilaLemma:126999	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusHor%20Epistulae/Horatius_HorEpistulae_HorEpis1.BPN_t_0000004	O
5	dicende	lilaLemma:99302	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusHor%20Epistulae/Horatius_HorEpistulae_HorEpis1.BPN_t_0000005	O
6	Camena	lilaLemma:138382	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusHor%20Epistulae/Horatius_HorEpistulae_HorEpis1.BPN_t_0000006	O
7	spectatum	lilaLemma:125299	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusHor%20Epistulae/Horatius_HorEpistulae_HorEpis1.BPN_t_0000007	O
8	satis	lilaLemma:123480	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusHor%20Epistulae/Horatius_HorEpistulae_HorEpis1.BPN_t_0000008	O
9	et	lilaLemma:101542	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusHor%20Epistulae/Horatius_HorEpistulae_HorEpis1.BPN_t_0000009	O
10	donatum	lilaLemma:100087	TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/HoratiusHor%20Epistulae/Horatius_HorEpistulae_HorEpis1.BPN_t_0000010	O
